"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_titulo";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano"
"2088412-23";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2088412-23";"2024-02-20";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"2088412";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2088412";"PL 5611/2016";"Acrescenta o §2º ao art. 3º da Lei nº 6.259, de 30 de outubro de 1975, para obrigar as unidades de saúde a afixarem, em suas dependências, informações relativas às vacinas do Programa Nacional de Imunizações - PNI.";"139";"PL";"5611";"2016"
"2109967-65";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2109967-65";"2024-06-19";"Aprovado o Parecer.";"2109967";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2109967";"PL 6050/2016";"Acrescenta parágrafo ao art. 154 da Consolidação das Leis do Trabalho para dispor sobre a aplicação das normas de medicina e de segurança do trabalho aos trabalhadores em áreas externas.";"139";"PL";"6050";"2016"
"2111199-73";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2111199-73";"2024-06-19";"Aprovado o Parecer.";"2111199";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2111199";"PL 6100/2016";"Altera a consolidação das Leis do Trabalho - CLT -, instituindo-se o regime unificado de pagamento de tributos, de contribuições e dos demais encargos do empregador, denominado SIMPLES TRABALHISTA, e dá outras providências.";"139";"PL";"6100";"2016"
"2111932-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2111932-106";"2024-06-12";"Aprovado o Parecer.";"2111932";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2111932";"PL 6160/2016";"Dispõe sobre a obrigatoriedade de instalação de detectores de metais nas entradas de locais de grande circulação de pessoas.";"139";"PL";"6160";"2016"
"2116964-65";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2116964-65";"2024-05-28";"Aprovado o Parecer.";"2116964";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2116964";"PL 6468/2016";"Dispõe sobre a importação de veículos automotores usados.";"139";"PL";"6468";"2016"
"2122656-21";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2122656-21";"2024-02-20";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"2122656";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2122656";"PL 6799/2017";"Dispõe sobre a obrigatoriedade de publicação na internet, com atualização mensal, da lista de espera dos pacientes que serão submetidos a cirurgias médicas eletivas realizadas com recursos do Sistema Único de Saúde (SUS) e dá outras providências.";"139";"PL";"6799";"2017"
"2123646-69";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2123646-69";"2024-04-17";"Rejeitado o Requerimento de Retirada de Pauta. Resultado: 41 votos ""Não"". Quórum de votação: 41 votos e 12 Obstruções.";"2123646";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2123646";"PL 6903/2017";"Altera a Lei n° 8.171, de 17 de janeiro de 1991, e a Lei n° 12.787, de 11 de janeiro de 2013, para promover o uso sustentável dos equipamentos de irrigação na agricultura brasileira.";"139";"PL";"6903";"2017"
"2123646-73";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2123646-73";"2024-04-17";"Aprovado o Parecer.";"2123646";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2123646";"PL 6903/2017";"Altera a Lei n° 8.171, de 17 de janeiro de 1991, e a Lei n° 12.787, de 11 de janeiro de 2013, para promover o uso sustentável dos equipamentos de irrigação na agricultura brasileira.";"139";"PL";"6903";"2017"
"2123646-90";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2123646-90";"2024-05-23";"Aprovada a Redação Final.";"2123646";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2123646";"PL 6903/2017";"Altera a Lei n° 8.171, de 17 de janeiro de 1991, e a Lei n° 12.787, de 11 de janeiro de 2013, para promover o uso sustentável dos equipamentos de irrigação na agricultura brasileira.";"139";"PL";"6903";"2017"
"2128135-56";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2128135-56";"2024-06-05";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  6 votos ""Sim"", 6 votos ""Não"". Quórum de votação: 12 votos.";"2128135";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2128135";"PL 7292/2017";"Altera o art. 121 do Decreto-Lei no 2.848, de 7 de dezembro de 1940 - Código Penal, para prever o LGBTcídio como circunstância qualificadora do crime de homicídio, e o art. 1o da Lei no 8.072, de 25 de julho de 1990, para incluir o LGBTcídio no rol dos crimes hediondos.";"139";"PL";"7292";"2017"
